Time;VBusCurrent;VBusVoltage
0:00:00:00.0000000;0.0094;5.2228
0:00:00:00.0100000;0.0094;5.2228
0:00:00:00.0200000;0.0094;5.2228
0:00:00:00.0300000;0.0094;5.2228
0:00:00:00.0400000;0.0094;5.2227
0:00:00:00.0500000;0.0094;5.2227
0:00:00:00.0600000;0.0094;5.2227
0:00:00:00.0700000;0.0094;5.2227
0:00:00:00.0800000;0.0094;5.2227
0:00:00:00.0900000;0.0094;5.2227
0:00:00:00.1000000;0.0094;5.2227
0:00:00:00.1100000;0.0094;5.2227
0:00:00:00.1200000;0.0094;5.2227
0:00:00:00.1300000;0.0094;5.2227
0:00:00:00.1400000;0.0094;5.2226
0:00:00:00.1500000;0.0094;5.2226
0:00:00:00.1600000;0.0094;5.2226
0:00:00:00.1700000;0.0094;5.2226
0:00:00:00.1800000;0.0094;5.2226
0:00:00:00.1900000;0.0094;5.2226
0:00:00:00.2000000;0.0094;5.2226
0:00:00:00.2100000;0.0094;5.2226
0:00:00:00.2200000;0.0094;5.2226
0:00:00:00.2300000;0.0094;5.2226
0:00:00:00.2400000;0.0094;5.2226
0:00:00:00.2500000;0.0094;5.2226
0:00:00:00.2600000;0.0094;5.2226
0:00:00:00.2700000;0.0094;5.2226
0:00:00:00.2800000;0.0094;5.2226
0:00:00:00.2900000;0.0094;5.2226
0:00:00:00.3000000;0.0094;5.2226
0:00:00:00.3100000;0.0094;5.2226
0:00:00:00.3200000;0.0094;5.2226
0:00:00:00.3300000;0.0094;5.2226
0:00:00:00.3400000;0.0094;5.2226
0:00:00:00.3500000;0.0094;5.2226
0:00:00:00.3600000;0.0094;5.2226
0:00:00:00.3700000;0.0094;5.2226
0:00:00:00.3800000;0.0094;5.2226
0:00:00:00.3900000;0.0094;5.2226
0:00:00:00.4000000;0.0094;5.2226
0:00:00:00.4100000;0.0094;5.2226
0:00:00:00.4200000;0.0094;5.2226
0:00:00:00.4300000;0.0094;5.2226
0:00:00:00.4400000;0.0095;5.2225
0:00:00:00.4500000;0.0095;5.2225
0:00:00:00.4600000;0.0095;5.2225
0:00:00:00.4700000;0.0095;5.2225
0:00:00:00.4800000;0.0095;5.2225
0:00:00:00.4900000;0.0095;5.2225
0:00:00:00.5000000;0.0095;5.2225
0:00:00:00.5100000;0.0095;5.2225
0:00:00:00.5200000;0.0095;5.2225
0:00:00:00.5300000;0.0095;5.2225
0:00:00:00.5400000;0.0094;5.2224
0:00:00:00.5500000;0.0094;5.2224
0:00:00:00.5600000;0.0094;5.2224
